"Program","Site","Start","End","lat","lon","Address","Num.Participants","Description","program_type","for_adults","Total.Service.Hours","Street.Address","City","State","Zip.Code","Link.to.Google.Map"
"Invent to Learn at FabLab Houston","FabLab Houston","July 31, 2018 10:00am","July 31, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Beyond the Banana MakeyMakey PD","FabLab Houston","September 6, 2018 4:30pm","September 6, 2018 6:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",24,"","The Ripple Effect",TRUE,"1:30","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","August 2, 2018 10:00am","August 2, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","July 23, 2018 10:00am","July 23, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",14,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","August 6, 2018 10:00am","August 6, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","August 3, 2018 10:00am","August 3, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","August 7, 2018 10:00am","August 7, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","August 9, 2018 10:00am","August 9, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Invent to Learn at FabLab Houston","FabLab Houston","August 8, 2018 10:00am","August 8, 2018 2:00pm",29.90238,-95.340038,"3308 Aldine Mail Rd Suite C Houston TX 77039",NA,"The Invent to Learn Program in partnership with Baker Ripley FabLab Houston is project-based summer maker and computer science summer camp. Students learn to make data visualization, art and so much more with Python programming and apply their skills to projects using maker skills such as 3D Printing, Ceramics, and Book Binding.","Invent to Learn",FALSE,"4:00","3308 Aldine Mail Rd Suite C","Houston","TX",77039,"https://maps.google.com/maps?hl=en&q=FabLab+Houston+3308+Aldine+Mail+Rd+Suite+C,++Houston+TX+77039"
"Circuit Beats","Finnigan Community Center","July 7, 2018 10:00am","July 7, 2018 2:00pm",29.770892,-95.341687,"4900 Providence Houston TX 77020",40,"Students will be introduced to coding and circuitry concepts with the MakeyMakey circuit board to construct custom-coded electronics. 
Students will be able to experience being the creators, and not just the consumers of technological inventions.","Invent to Learn",FALSE,"4:00","4900 Providence","Houston","TX",77020,"https://maps.google.com/maps?hl=en&q=Finnigan+Community+Center+4900+Providence,++Houston+TX+77020"
"ASCII Art","Freed-Montrose Library","June 14, 2018 3:30pm","June 14, 2018 4:30pm",29.736167,-95.391143,"4100 Montrose Blvd Houston TX 77006",3,"Students will be guided through a program in Python or JavaScript that converts photos and cartoon images to ASCII art, images made purely from text. Along the way, they’ll learn a little about pixels, how computers manipulate images, and using loops to code repetitive tasks. At the end of class, students will have their ASCII art printed out to take home.","Coding and the Arts",FALSE,"1:00","4100 Montrose Blvd","Houston","TX",77006,"https://maps.google.com/maps?hl=en&q=Freed-Montrose+Library+4100+Montrose+Blvd,++Houston+TX+77006"
"Creative Coding - Storytelling","Gallegos Elementary School","November 5, 2018 4:00pm","November 5, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","November 6, 2018 4:00pm","November 6, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","November 13, 2018 4:00pm","November 13, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 17, 2018 4:00pm","October 17, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","December 4, 2018 4:00pm","December 4, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 23, 2018 4:00pm","October 23, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",18,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 15, 2018 4:00pm","October 15, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","December 10, 2018 4:00pm","December 10, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"2:00","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
"Creative Coding - Storytelling","Gallegos Elementary School","October 10, 2018 4:30pm","October 10, 2018 6:00pm",29.733125,-95.293804,"7415 Harrisburg Blvd Houston TX 77011",NA,"Create and share your own digital stories! Use the computer to design your own stories, create and share your own animations, and learn how technology is used in the film and media industry!
Bring your friends! No previous computer experience is necessary. Have your friends join too - the Creative Coding Storytelling club is social and fun!","Coding and the Arts",FALSE,"1:30","7415 Harrisburg Blvd","Houston","TX",77011,"https://maps.google.com/maps?hl=en&q=Gallegos+Elementary+School+7415+Harrisburg+Blvd,++Houston+TX+77011"
